Date;Open*;High;Low;Close**;Volume;Market Cap
Dec 01, 2019;7.571,62;7.571,62;7.291,34;7.424,29;18.720.708.479;134.215.145.410
Nov 30, 2019;7.764,06;7.836,10;7.515,85;7.569,63;17.158.194.786;136.829.391.049
Nov 29, 2019;7.466,73;7.781,18;7.460,76;7.761,24;19.709.695.456;140.280.108.521
Nov 28, 2019;7.536,82;7.730,07;7.454,12;7.463,11;19.050.116.751;134.879.411.013
Nov 27, 2019;7.220,88;7.619,69;6.974,17;7.531,66;23.991.412.764;136.102.712.894
Nov 26, 2019;7.145,16;7.320,23;7.098,57;7.218,37;21.129.505.542;130.429.018.720
Nov 25, 2019;7.039,98;7.319,86;6.617,17;7.146,13;42.685.231.262;129.112.952.930
Nov 24, 2019;7.398,63;7.408,58;7.029,29;7.047,92;30.433.517.289;127.327.398.565
Nov 23, 2019;7.296,16;7.442,26;7.151,42;7.397,80;21.008.924.418;133.636.205.957
Nov 22, 2019;7.643,57;7.697,38;6.936,71;7.296,58;34.242.315.785;131.791.783.672
Nov 21, 2019;8.023,64;8.110,10;7.597,38;7.642,75;22.514.243.371;138.031.885.379
Nov 20, 2019;8.203,61;8.237,24;8.010,51;8.027,27;20.764.300.437;144.962.727.398
Nov 19, 2019;8.305,13;8.408,52;8.099,96;8.206,15;21.083.613.816;148.178.376.843
Nov 18, 2019;8.573,98;8.653,28;8.273,57;8.309,29;21.579.470.673;150.025.712.267
Nov 17, 2019;8.549,47;8.727,79;8.500,97;8.577,98;18.668.638.897;154.861.842.425
Nov 16, 2019;8.491,17;8.592,00;8.473,97;8.550,76;16.495.389.808;154.354.054.194
Nov 15, 2019;8.705,71;8.730,87;8.484,84;8.491,99;21.796.856.471;153.277.483.626
Nov 14, 2019;8.811,94;8.826,94;8.692,55;8.708,10;19.084.739.975;157.160.974.644
Nov 13, 2019;8.812,03;8.836,84;8.761,65;8.808,26;17.545.755.405;158.949.942.842
Nov 12, 2019;8.759,75;8.853,77;8.685,43;8.815,66;20.309.769.107;159.068.712.900
Nov 11, 2019;9.056,92;9.081,28;8.700,61;8.757,79;20.265.510.765;158.009.772.437
Nov 10, 2019;8.812,49;9.103,83;8.806,16;9.055,53;20.587.919.881;163.364.406.732
Nov 09, 2019;8.809,47;8.891,82;8.793,16;8.813,58;17.578.630.606;158.981.489.715
Nov 08, 2019;9.265,37;9.272,76;8.775,53;8.804,88;24.333.037.836;158.808.570.729
Nov 07, 2019;9.352,39;9.368,48;9.202,35;9.267,56;22.700.383.839;167.138.722.904
Nov 06, 2019;9.340,86;9.423,24;9.305,91;9.360,88;23.133.895.765;168.806.151.583
Nov 05, 2019;9.413,00;9.457,42;9.256,93;9.342,53;26.198.609.048;168.459.778.835
Nov 04, 2019;9.235,61;9.505,05;9.191,49;9.412,61;26.170.255.634;169.706.332.936
Nov 03, 2019;9.324,79;9.379,81;9.141,25;9.235,35;21.132.220.847;166.495.319.475
Nov 02, 2019;9.259,78;9.377,49;9.249,59;9.324,72;21.242.676.385;168.090.392.935
Nov 01, 2019;9.193,99;9.275,66;9.132,05;9.261,10;24.324.691.031;166.928.044.164
Oct 31, 2019;9.202,46;9.383,16;9.028,72;9.199,58;26.583.653.947;165.804.227.835
Oct 30, 2019;9.422,46;9.426,87;9.085,37;9.205,73;27.706.531.577;165.899.500.650
Oct 29, 2019;9.248,44;9.516,18;9.232,65;9.427,69;28.426.779.937;169.883.866.262
Oct 28, 2019;9.565,10;9.805,12;9.256,15;9.256,15;30.948.255.332;166.777.392.742
Oct 27, 2019;9.241,71;9.749,53;9.112,54;9.551,71;32.593.129.501;172.087.039.875
Oct 26, 2019;8.667,58;10.021,74;8.662,62;9.244,97;44.496.255.609;166.547.360.782
Oct 25, 2019;7.490,70;8.691,54;7.479,98;8.660,70;28.705.065.488;156.006.603.607
Oct 24, 2019;7.509,73;7.532,87;7.446,99;7.493,49;16.268.708.849;134.968.410.276
Oct 23, 2019;8.076,23;8.093,00;7.469,32;7.514,67;21.942.878.958;135.337.364.282
Oct 22, 2019;8.243,40;8.296,65;8.074,46;8.078,20;16.803.377.857;145.469.660.005
Oct 21, 2019;8.225,12;8.296,69;8.196,42;8.243,72;15.868.748.866;148.432.733.155
Oct 20, 2019;7.997,81;8.281,82;7.949,44;8.222,08;15.504.249.442;148.026.597.064
Oct 19, 2019;7.973,80;8.082,63;7.944,78;7.988,56;13.797.825.640;143.808.163.807
Oct 18, 2019;8.100,93;8.138,41;7.902,16;7.973,21;15.651.592.610;143.517.630.376
Oct 17, 2019;8.047,81;8.134,83;8.000,94;8.103,91;14.313.052.244;145.853.994.298
Oct 16, 2019;8.204,67;8.216,81;7.985,09;8.047,53;16.071.646.996;144.823.993.562
Oct 15, 2019;8.373,46;8.410,71;8.182,71;8.205,37;15.220.412.632;147.650.082.215
Oct 14, 2019;8.320,83;8.390,21;8.284,13;8.374,69;15.151.387.859;150.680.499.056
Oct 13, 2019;8.336,90;8.470,99;8.276,61;8.321,01;13.808.286.059;149.700.817.939
Oct 12, 2019;8.315,66;8.415,24;8.313,34;8.336,56;14.532.641.605;149.965.767.624
Oct 11, 2019;8.585,26;8.721,78;8.316,18;8.321,76;19.604.381.101;149.685.618.275
Oct 10, 2019;8.585,28;8.625,27;8.471,93;8.586,47;17.618.660.671;154.430.515.160
Oct 09, 2019;8.229,84;8.627,71;8.169,30;8.595,74;19.384.942.333;154.579.656.110
Oct 08, 2019;8.246,85;8.332,72;8.185,76;8.228,78;15.592.264.032;147.966.069.982
Oct 07, 2019;7.989,12;8.308,45;7.905,77;8.245,62;18.009.742.607;148.252.589.805
Oct 06, 2019;8.149,88;8.161,41;7.958,85;7.988,16;13.160.830.305;143.607.672.862
Oct 05, 2019;8.210,15;8.215,53;8.071,12;8.151,50;12.200.497.197;146.529.229.668
Oct 04, 2019;8.259,49;8.260,06;8.151,24;8.205,94;13.139.456.229;147.491.804.056
Oct 03, 2019;8.390,77;8.414,23;8.146,44;8.259,99;13.668.823.409;148.448.162.840
Oct 02, 2019;8.344,21;8.393,04;8.227,70;8.393,04;13.125.712.443;150.823.797.662
Oct 01, 2019;8.299,72;8.497,69;8.232,68;8.343,28;15.305.343.413;149.913.972.768
Sep 30, 2019;8.104,23;8.314,23;7.830,76;8.293,87;17.115.474.183;149.011.567.415
Sep 29, 2019;8.246,04;8.261,71;7.990,50;8.104,19;13.034.629.109;145.590.374.681
Sep 28, 2019;8.251,27;8.285,62;8.125,43;8.245,92;14.141.152.736;148.122.503.616
Sep 27, 2019;8.113,10;8.271,52;7.965,92;8.251,85;16.408.941.156;148.212.635.834
Sep 26, 2019;8.487,67;8.515,69;7.895,63;8.118,97;19.258.205.289;145.812.492.488
Sep 25, 2019;8.603,43;8.744,83;8.325,40;8.486,99;21.744.728.353;152.404.005.091
Sep 24, 2019;9.729,32;9.804,32;8.370,80;8.620,57;25.002.886.689;154.785.821.876
Sep 23, 2019;10.067,96;10.074,24;9.727,14;9.729,32;15.144.925.408;174.674.558.023
Sep 22, 2019;10.024,12;10.074,44;9.922,53;10.070,39;13.199.651.698;180.784.051.699
Sep 21, 2019;10.183,65;10.188,10;10.000,71;10.019,72;13.425.266.806;179.853.287.294
Sep 20, 2019;10.266,32;10.285,87;10.132,19;10.181,64;14.734.189.639;182.738.947.696
Sep 19, 2019;10.200,50;10.295,67;9.851,69;10.266,41;19.937.691.247;184.240.949.577
Sep 18, 2019;10.247,80;10.275,93;10.191,47;10.198,25;16.169.268.880;182.998.899.156
Sep 17, 2019;10.281,51;10.296,77;10.199,74;10.241,27;15.304.603.363;183.748.515.828
Sep 16, 2019;10.347,22;10.386,87;10.189,74;10.276,79;15.160.167.779;184.366.827.555
Sep 15, 2019;10.356,47;10.387,03;10.313,09;10.347,71;12.043.433.567;185.618.174.384
Sep 14, 2019;10.345,40;10.422,13;10.291,69;10.358,05;13.468.713.124;185.784.300.332
Sep 13, 2019;10.415,36;10.441,49;10.226,60;10.360,55;14.109.864.675;185.809.163.035
Sep 12, 2019;10.176,82;10.442,25;10.099,24;10.410,13;15.323.563.925;186.678.943.059
Sep 11, 2019;10.123,03;10.215,95;9.980,78;10.178,37;15.428.063.426;182.502.788.242
Sep 10, 2019;10.336,41;10.394,35;10.020,57;10.115,98;14.906.809.639;181.360.731.383
Sep 09, 2019;10.443,23;10.450,31;10.144,93;10.334,97;17.595.943.368;185.263.578.990
Sep 08, 2019;10.518,11;10.595,64;10.409,09;10.441,28;13.670.567.493;187.150.078.007
Sep 07, 2019;10.353,93;10.558,67;10.348,92;10.517,25;15.307.366.476;188.488.525.926
Sep 06, 2019;10.578,20;10.898,76;10.292,30;10.353,30;19.536.574.783;185.530.405.363
Sep 05, 2019;10.588,18;10.627,27;10.516,42;10.575,53;14.551.239.508;189.492.405.383
Sep 04, 2019;10.621,18;10.762,64;10.434,71;10.594,49;16.742.664.769;189.810.010.608
Sep 03, 2019;10.345,73;10.736,10;10.308,55;10.623,54;19.384.917.989;190.312.487.956
Sep 02, 2019;9.757,47;10.396,59;9.730,65;10.346,76;17.248.102.294;185.333.114.163
Sep 01, 2019;9.630,59;9.796,76;9.582,94;9.757,97;11.445.355.859;174.768.292.883
Aug 31, 2019;9.597,54;9.673,22;9.531,80;9.630,66;11.454.806.419;172.470.743.516
Aug 30, 2019;9.514,84;9.656,12;9.428,30;9.598,17;13.595.263.986;171.869.216.524
Aug 29, 2019;9.756,79;9.756,79;9.421,63;9.510,20;17.045.878.501;170.274.910.132
Aug 28, 2019;10.203,43;10.279,37;9.716,66;9.754,42;17.603.790.323;174.627.460.400
Aug 27, 2019;10.372,83;10.381,33;10.087,30;10.185,50;14.762.609.503;182.325.540.955
Aug 26, 2019;10.126,30;10.512,33;10.126,30;10.370,82;18.438.654.080;185.625.235.889
Aug 25, 2019;10.160,74;10.304,62;10.008,79;10.138,52;14.153.856.610;181.450.186.164
Aug 24, 2019;10.407,64;10.418,02;9.982,30;10.159,96;15.451.030.650;181.813.631.752
Aug 23, 2019;10.136,31;10.442,44;10.078,19;10.407,97;15.627.023.886;186.231.409.722
Aug 22, 2019;10.142,52;10.233,00;9.831,46;10.131,06;17.097.508.856;181.257.125.783
Aug 21, 2019;10.764,57;10.798,73;9.962,72;10.138,05;19.473.084.768;181.364.502.142
Aug 20, 2019;10.916,35;10.947,04;10.618,96;10.763,23;15.053.082.175;192.530.283.565
Aug 19, 2019;10.350,28;10.916,05;10.313,20;10.916,05;16.038.264.603;195.243.306.008
Aug 18, 2019;10.233,01;10.487,07;10.119,09;10.345,81;12.999.813.869;185.022.920.955
Aug 17, 2019;10.358,72;10.452,62;10.086,70;10.231,74;13.778.035.685;182.966.857.173
Aug 16, 2019;10.319,42;10.524,35;9.855,48;10.374,34;20.228.207.096;185.500.055.339
Aug 15, 2019;10.038,42;10.437,41;9.675,32;10.311,55;22.899.115.082;184.357.666.577
Aug 14, 2019;10.889,49;10.889,56;10.028,14;10.051,70;19.990.838.300;179.692.803.424
Aug 13, 2019;11.385,05;11.420,05;10.830,33;10.895,83;16.681.503.537;194.762.696.644
Aug 12, 2019;11.528,19;11.528,19;11.320,95;11.382,62;13.647.198.229;203.441.494.985
Aug 11, 2019;11.349,74;11.523,58;11.248,29;11.523,58;15.774.371.518;205.941.632.235
Aug 10, 2019;11.861,56;11.915,66;11.323,90;11.354,02;18.125.355.447;202.890.020.455
Aug 09, 2019;11.953,47;11.970,46;11.709,75;11.862,94;18.339.989.960;211.961.319.133
Aug 08, 2019;11.954,04;11.979,42;11.556,17;11.966,41;19.481.591.730;213.788.089.212
Aug 07, 2019;11.476,19;12.036,99;11.433,70;11.941,97;22.194.988.641;213.330.426.789
Aug 06, 2019;11.811,55;12.273,82;11.290,73;11.478,17;23.635.107.660;205.023.347.814
Aug 05, 2019;10.960,74;11.895,09;10.960,74;11.805,65;23.875.988.832;210.848.822.060
Aug 04, 2019;10.821,63;11.009,21;10.620,28;10.970,18;16.530.894.787;195.907.875.403
Aug 03, 2019;10.519,28;10.946,78;10.503,50;10.821,73;15.352.685.061;193.233.960.601
Aug 02, 2019;10.402,04;10.657,95;10.371,01;10.518,17;17.489.094.082;187.791.090.996
Aug 01, 2019;10.077,44;10.446,92;9.922,02;10.399,67;17.165.337.858;185.653.203.391
Jul 31, 2019;9.604,05;10.085,63;9.598,10;10.085,63;16.631.520.648;180.028.959.603
Jul 30, 2019;9.522,33;9.701,76;9.437,34;9.607,42;13.829.811.132;171.472.452.506
Jul 29, 2019;9.548,18;9.681,65;9.472,95;9.519,15;13.791.445.323;169.880.343.827
Jul 28, 2019;9.491,63;9.575,55;9.252,30;9.552,86;13.738.687.093;170.461.958.074
Jul 27, 2019;9.871,16;10.167,32;9.411,52;9.477,68;16.817.809.536;169.099.540.423
Jul 26, 2019;9.913,13;9.916,52;9.717,98;9.870,30;14.495.714.483;176.085.968.354
Jul 25, 2019;9.809,10;10.154,25;9.773,96;9.911,84;15.821.952.090;176.806.451.137
Jul 24, 2019;9.887,73;9.908,80;9.614,31;9.811,93;17.398.734.322;175.005.760.794
Jul 23, 2019;10.346,75;10.346,75;9.883,60;9.900,77;17.851.916.995;176.572.890.702
Jul 22, 2019;10.596,95;10.651,79;10.154,92;10.343,11;16.334.414.913;184.443.440.748
Jul 21, 2019;10.777,53;10.841,89;10.389,60;10.599,11;17.130.580.467;188.987.475.962
Jul 20, 2019;10.525,82;11.048,66;10.451,28;10.767,14;20.206.615.155;191.963.691.255
Jul 19, 2019;10.653,96;10.716,98;10.229,63;10.530,73;20.727.426.310;187.725.578.628
Jul 18, 2019;9.698,50;10.736,84;9.376,80;10.666,48;25.187.024.648;190.129.918.121
Jul 17, 2019;9.471,21;9.963,13;9.163,13;9.693,80;24.569.921.549;172.777.250.515
Jul 16, 2019;10.896,65;10.996,63;9.448,11;9.477,64;24.151.199.070;168.908.640.950
Jul 15, 2019;10.257,84;11.052,77;9.992,01;10.895,09;25.384.047.207;194.147.627.475
Jul 14, 2019;11.381,02;11.451,20;10.234,58;10.256,06;22.486.000.001;182.741.933.552
Jul 13, 2019;11.813,13;11.841,96;10.908,48;11.392,38;21.042.616.384;202.968.191.001
Jul 12, 2019;11.354,30;11.905,49;11.179,14;11.815,99;23.534.692.797;210.494.417.832
Jul 11, 2019;12.139,71;12.144,62;11.158,92;11.358,66;28.595.327.690;202.324.174.692
Jul 10, 2019;12.571,54;13.129,53;11.710,98;12.156,51;33.627.574.244;216.515.999.522
Jul 09, 2019;12.284,33;12.779,13;12.233,26;12.573,81;28.167.921.523;223.928.128.583
Jul 08, 2019;11.446,60;12.345,83;11.393,37;12.285,96;23.482.551.458;218.778.355.444
Jul 07, 2019;11.217,62;11.541,62;11.148,80;11.450,85;19.369.044.277;203.881.891.346
Jul 06, 2019;10.982,54;11.620,97;10.982,54;11.208,55;21.092.024.306;199.546.110.914
Jul 05, 2019;11.203,10;11.395,66;10.874,96;10.978,46;23.838.480.210;195.424.678.267
Jul 04, 2019;11.972,72;12.006,08;11.166,57;11.215,44;25.920.294.033;199.617.404.432
Jul 03, 2019;10.818,16;11.968,08;10.818,16;11.961,27;30.796.494.294;212.867.079.175
Jul 02, 2019;10.588,68;10.912,19;9.737,88;10.801,68;31.015.895.223;192.206.536.806
Jul 01, 2019;10.796,93;11.206,44;10.089,31;10.583,13;29.378.589.324;188.297.637.574
Jun 30, 2019;11.931,99;12.178,38;10.799,01;10.817,16;27.256.473.494;192.442.065.810
Jun 29, 2019;12.400,76;12.400,91;11.508,38;11.959,37;29.923.961.128;212.739.713.110
Jun 28, 2019;11.162,17;12.445,18;10.914,49;12.407,33;35.087.757.766;220.681.459.666
Jun 27, 2019;13.017,12;13.311,14;10.491,85;11.182,81;39.977.475.223;198.878.940.964
Jun 26, 2019;11.778,58;13.796,49;11.755,60;13.016,23;45.105.733.173;231.462.117.209
Jun 25, 2019;11.007,20;11.790,92;11.007,20;11.790,92;24.879.684.533;209.647.943.360
Jun 24, 2019;10.853,74;11.065,90;10.610,43;11.011,10;19.271.652.365;195.762.668.679
Jun 23, 2019;10.696,69;11.246,14;10.556,10;10.855,37;20.998.326.502;192.970.090.355
Jun 22, 2019;10.175,92;11.157,35;10.107,04;10.701,69;29.995.204.861;190.214.124.824
Jun 21, 2019;9.525,07;10.144,56;9.525,07;10.144,56;20.624.008.643;180.293.241.528
Jun 20, 2019;9.273,06;9.594,42;9.232,48;9.527,16;17.846.823.784;169.304.784.791
Jun 19, 2019;9.078,73;9.299,62;9.070,40;9.273,52;15.546.809.946;164.780.855.869
Jun 18, 2019;9.335,47;9.348,37;9.004,90;9.081,76;15.848.210.536;161.353.637.186
Jun 17, 2019;8.988,92;9.416,41;8.988,92;9.320,35;15.562.951.919;165.573.372.261
Jun 16, 2019;8.841,44;9.335,87;8.814,56;8.994,49;23.348.550.311;159.769.423.370
Jun 15, 2019;8.689,75;8.859,13;8.618,40;8.838,38;18.371.033.226;156.982.138.835
Jun 14, 2019;8.230,90;8.710,64;8.183,39;8.693,83;19.831.162.906;154.398.880.249
Jun 13, 2019;8.145,55;8.311,57;8.087,06;8.230,92;18.669.407.147;146.160.317.148
Jun 12, 2019;7.925,43;8.196,65;7.862,36;8.145,86;19.034.432.883;144.634.684.711
Jun 11, 2019;8.004,24;8.026,39;7.772,80;7.927,71;17.107.279.932;140.748.537.530
Jun 10, 2019;7.692,28;8.031,91;7.586,73;8.000,33;18.689.275.117;142.023.351.079
Jun 09, 2019;7.949,67;7.975,97;7.583,22;7.688,08;16.610.726.547;136.465.098.533
Jun 08, 2019;8.036,77;8.076,89;7.837,61;7.954,13;16.522.722.810;141.172.841.635
Jun 07, 2019;7.826,90;8.126,15;7.788,37;8.043,95;19.141.423.231;142.754.693.588
Jun 06, 2019;7.819,63;7.937,34;7.571,47;7.822,02;19.474.611.077;138.800.725.479
Jun 05, 2019;7.704,34;7.901,85;7.668,67;7.824,23;21.760.923.463;138.824.651.666
Jun 04, 2019;8.210,99;8.210,99;7.564,49;7.707,77;24.609.731.549;136.742.790.469
Jun 03, 2019;8.741,75;8.743,50;8.204,19;8.208,99;22.004.511.436;145.619.047.341
Jun 02, 2019;8.565,47;8.809,30;8.561,24;8.742,96;20.266.216.022;155.077.231.351
Jun 01, 2019;8.573,84;8.625,60;8.481,58;8.564,02;22.488.303.544;151.890.214.310
May 31, 2019;8.320,29;8.586,66;8.172,55;8.574,50;25.365.190.957;152.059.886.414
May 30, 2019;8.661,76;9.008,31;8.221,27;8.319,47;29.246.528.551;147.525.141.134
May 29, 2019;8.718,59;8.755,85;8.482,73;8.659,49;23.473.479.966;153.537.047.655
May 28, 2019;8.802,76;8.807,02;8.634,72;8.719,96;24.226.919.267;154.590.202.287
May 27, 2019;8.674,07;8.907,17;8.668,70;8.805,78;27.949.839.564;156.093.754.762
May 26, 2019;8.055,21;8.687,52;7.924,67;8.673,22;26.677.970.091;153.725.486.067
May 25, 2019;7.991,89;8.117,93;7.965,98;8.052,54;22.256.813.107;142.708.188.838
May 24, 2019;7.881,70;8.140,72;7.824,45;7.987,37;25.919.126.991;141.539.115.575
May 23, 2019;7.677,27;7.943,79;7.533,20;7.881,85;24.457.107.820;139.654.107.035
